Notes,Year,Year Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,1979,1979,Unspecified diseases of conjunctiva due to viruses and chlamydiae,77.9,1,224635398,0.0 (Unreliable)
,1979,1979,Cytomegaloviral disease,78.5,47,224635398,0
,1979,1979,Other specified diseases due to viruses and chlamydiae,78.8,36,224635398,0
,1979,1979,Adenovirus,79,1,224635398,0.0 (Unreliable)
,1979,1979,Echo virus,79.1,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified viral and chlamydial infections,79.8,21,224635398,0
,1979,1979,Unspecified viral and chlamydial infections,79.9,190,224635398,0.1
,1979,1979,"Typhus, unspecified",81.9,1,224635398,0.0 (Unreliable)
,1979,1979,Spotted fevers,82,32,224635398,0
,1979,1979,"Rickettsiosis, unspecified",83.9,1,224635398,0.0 (Unreliable)
,1979,1979,"Malaria, unspecified",84.6,3,224635398,0.0 (Unreliable)
,1979,1979,Chagas' disease with heart involvement,86,2,224635398,0.0 (Unreliable)
,1979,1979,Chagas' disease with other organ involvement,86.1,1,224635398,0.0 (Unreliable)
,1979,1979,"Early congenital syphilis, symptomatic",90,2,224635398,0.0 (Unreliable)
,1979,1979,"Early congenital syphilis, unspecified",90.2,1,224635398,0.0 (Unreliable)
,1979,1979,Juvenile neurosyphilis,90.4,5,224635398,0.0 (Unreliable)
,1979,1979,"Other late congenital syphilis, symptomatic",90.5,1,224635398,0.0 (Unreliable)
,1979,1979,"Congenital syphilis, unspecified",90.9,4,224635398,0.0 (Unreliable)
,1979,1979,Adenopathy due to secondary syphilis,91.4,1,224635398,0.0 (Unreliable)
,1979,1979,"Aneurysm of aorta, specified as syphilitic",93,11,224635398,0.0 (Unreliable)
,1979,1979,Syphilitic aortitis,93.1,29,224635398,0
,1979,1979,Syphilitic endocarditis,93.2,15,224635398,0.0 (Unreliable)
,1979,1979,Other specified cardiovascular syphilis,93.8,28,224635398,0
,1979,1979,"Cardiovascular syphilis, unspecified",93.9,4,224635398,0.0 (Unreliable)
,1979,1979,Tabes dorsalis,94,9,224635398,0.0 (Unreliable)
,1979,1979,General paresis,94.1,13,224635398,0.0 (Unreliable)
,1979,1979,Syphilitic meningitis,94.2,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified neurosyphilis,94.8,10,224635398,0.0 (Unreliable)
,1979,1979,"Neurosyphilis, unspecified",94.9,29,224635398,0
,1979,1979,"Other forms of late syphilis, with symptoms",95,3,224635398,0.0 (Unreliable)
,1979,1979,"Late syphilis, unspecified",97,11,224635398,0.0 (Unreliable)
,1979,1979,"Syphilis, unspecified",97.9,3,224635398,0.0 (Unreliable)
,1979,1979,"Chronic, of upper genitourinary tract",98.3,1,224635398,0.0 (Unreliable)
,1979,1979,Lymphogranuloma venereum,99.1,1,224635398,0.0 (Unreliable)
,1979,1979,Granuloma inguinale,99.2,1,224635398,0.0 (Unreliable)
,1979,1979,"Leptospirosis, unspecified",100.9,4,224635398,0.0 (Unreliable)
,1979,1979,Vincent's angina,101,1,224635398,0.0 (Unreliable)
,1979,1979,"Dermatomycosis, unspecified",111.9,1,224635398,0.0 (Unreliable)
,1979,1979,Of other urogenital sites,112.2,2,224635398,0.0 (Unreliable)
,1979,1979,Of lung,112.4,40,224635398,0
,1979,1979,Disseminated,112.5,97,224635398,0
,1979,1979,Of other specified sites,112.8,19,224635398,0.0 (Unreliable)
,1979,1979,Of unspecified site,112.9,55,224635398,0
,1979,1979,Coccidioidomycosis,114,63,224635398,0
,1979,1979,Infection by histoplasma capsulatum,115,6,224635398,0.0 (Unreliable)
,1979,1979,"Histoplasmosis, unspecified",115.9,27,224635398,0
,1979,1979,Blastomycosis,116,17,224635398,0.0 (Unreliable)
,1979,1979,Sporotrichosis,117.1,2,224635398,0.0 (Unreliable)
,1979,1979,Aspergillosis,117.3,84,224635398,0
,1979,1979,Cryptococcosis,117.5,105,224635398,0
,1979,1979,Allescheriosis [petriellidosis],117.6,1,224635398,0.0 (Unreliable)
,1979,1979,Zygomycosis [phycomycosis or mucormycosis],117.7,22,224635398,0
,1979,1979,Infection by dematiacious fungi [phaehyphomycosis],117.8,2,224635398,0.0 (Unreliable)
,1979,1979,Other and unspecified mycoses,117.9,67,224635398,0
,1979,1979,"Schistosomiasis, unspecified",120.9,4,224635398,0.0 (Unreliable)
,1979,1979,"Echinococcosis, unspecified, of liver",122.8,1,224635398,0.0 (Unreliable)
,1979,1979,"Echinococcosis, other and unspecified",122.9,1,224635398,0.0 (Unreliable)
,1979,1979,Cysticercosis,123.1,5,224635398,0.0 (Unreliable)
,1979,1979,"Cestode infection, unspecified",123.9,1,224635398,0.0 (Unreliable)
,1979,1979,Trichinosis,124,2,224635398,0.0 (Unreliable)
,1979,1979,Strongyloidiasis,127.2,7,224635398,0.0 (Unreliable)
,1979,1979,"Helminth infection, unspecified",128.9,1,224635398,0.0 (Unreliable)
,1979,1979,"Intestinal parasitism, unspecified",129,2,224635398,0.0 (Unreliable)
,1979,1979,Toxoplasmosis,130,6,224635398,0.0 (Unreliable)
,1979,1979,Myiasis,134,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified infestations,134.8,1,224635398,0.0 (Unreliable)
,1979,1979,Sarcoidosis,135,305,224635398,0.1
,1979,1979,Behçet's syndrome,136.1,4,224635398,0.0 (Unreliable)
,1979,1979,Pneumocystosis,136.3,139,224635398,0.1
,1979,1979,Other specified infectious and parasitic diseases,136.8,1,224635398,0.0 (Unreliable)
,1979,1979,Unspecified infectious and parasitic diseases,136.9,226,224635398,0.1
,1979,1979,Late effects of respiratory or unspecified tuberculosis,137,343,224635398,0.2
,1979,1979,Late effects of genitourinary tuberculosis,137.2,1,224635398,0.0 (Unreliable)
,1979,1979,Late effects of tuberculosis of bones and joints,137.3,1,224635398,0.0 (Unreliable)
,1979,1979,Late effects of tuberculosis of other specified organs,137.4,5,224635398,0.0 (Unreliable)
,1979,1979,Late effects of acute poliomyelitis,138,69,224635398,0
,1979,1979,Late effects of viral encephalitis,139,3,224635398,0.0 (Unreliable)
,1979,1979,Late effects of other and unspecified infectious and parasitic diseases,139.8,17,224635398,0.0 (Unreliable)
,1979,1979,"Upper lip, vermilion border",140,9,224635398,0.0 (Unreliable)
,1979,1979,"Lower lip, vermilion border",140.1,31,224635398,0
,1979,1979,"Lip, unspecified, vermilion border",140.9,95,224635398,0
,1979,1979,Base of tongue,141,216,224635398,0.1
,1979,1979,Dorsal surface of tongue,141.1,2,224635398,0.0 (Unreliable)
,1979,1979,Tip and lateral border of tongue,141.2,2,224635398,0.0 (Unreliable)
,1979,1979,Ventral surface of tongue,141.3,2,224635398,0.0 (Unreliable)
,1979,1979,"Anterior two-thirds of tongue, part unspecified",141.4,1,224635398,0.0 (Unreliable)
,1979,1979,Lingual tonsil,141.6,37,224635398,0
,1979,1979,Other sites of tongue,141.8,1,224635398,0.0 (Unreliable)
,1979,1979,"Tongue, unspecified",141.9,1725,224635398,0.8
,1979,1979,Parotid gland,142,423,224635398,0.2
,1979,1979,Submandibular gland,142.1,79,224635398,0
,1979,1979,Sublingual gland,142.2,1,224635398,0.0 (Unreliable)
,1979,1979,"Salivary gland, unspecified",142.9,84,224635398,0
,1979,1979,Upper gum,143,32,224635398,0
,1979,1979,Lower gum,143.1,73,224635398,0
,1979,1979,"Gum, unspecified",143.9,77,224635398,0
,1979,1979,Anterior portion,144,5,224635398,0.0 (Unreliable)
,1979,1979,"Floor of mouth, part unspecified",144.9,482,224635398,0.2
,1979,1979,Cheek mucosa,145,54,224635398,0
,1979,1979,Vestibule of mouth,145.1,3,224635398,0.0 (Unreliable)
,1979,1979,Hard palate,145.2,32,224635398,0
,1979,1979,Soft palate,145.3,117,224635398,0.1
,1979,1979,Uvula,145.4,9,224635398,0.0 (Unreliable)
,1979,1979,"Palate, unspecified",145.5,172,224635398,0.1
,1979,1979,Retromolar area,145.6,46,224635398,0
,1979,1979,Other specified parts of mouth,145.8,3,224635398,0.0 (Unreliable)
,1979,1979,"Mouth, unspecified",145.9,852,224635398,0.4
,1979,1979,Tonsil,146,622,224635398,0.3
,1979,1979,Tonsillar fossa,146.1,49,224635398,0
,1979,1979,Tonsillar pillars (anterior) (posterior),146.2,20,224635398,0
,1979,1979,Vallecula,146.3,10,224635398,0.0 (Unreliable)
,1979,1979,Posterior wall of oropharynx,146.7,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified sites of oropharynx,146.8,1,224635398,0.0 (Unreliable)
,1979,1979,"Oropharynx, unspecified",146.9,401,224635398,0.2
,1979,1979,Posterior wall,147.1,7,224635398,0.0 (Unreliable)
,1979,1979,Lateral wall,147.2,1,224635398,0.0 (Unreliable)
,1979,1979,"Nasopharynx, unspecified",147.9,696,224635398,0.3
,1979,1979,Postcricoid region,148,2,224635398,0.0 (Unreliable)
,1979,1979,Pyriform sinus,148.1,279,224635398,0.1
,1979,1979,"Aryepiglottic fold, hypopharyngeal aspect",148.2,1,224635398,0.0 (Unreliable)
,1979,1979,Posterior hypopharyngeal wall,148.3,4,224635398,0.0 (Unreliable)
,1979,1979,"Hypopharynx, unspecified",148.9,415,224635398,0.2
,1979,1979,"Pharynx, unspecified",149,1411,224635398,0.6
,1979,1979,Waldeyer's ring,149.1,2,224635398,0.0 (Unreliable)
,1979,1979,Other,149.8,2,224635398,0.0 (Unreliable)
,1979,1979,Cervical esophagus,150,47,224635398,0
,1979,1979,Thoracic esophagus,150.1,7,224635398,0.0 (Unreliable)
,1979,1979,Upper third of esophagus,150.3,30,224635398,0
,1979,1979,Middle third of esophagus,150.4,33,224635398,0
,1979,1979,Lower third of esophagus,150.5,140,224635398,0.1
,1979,1979,Other specified part,150.8,3,224635398,0.0 (Unreliable)
,1979,1979,"Esophagus, unspecified",150.9,7409,224635398,3.3
,1979,1979,Cardia,151,341,224635398,0.2
,1979,1979,Pylorus,151.1,15,224635398,0.0 (Unreliable)
,1979,1979,Pyloric antrum,151.2,30,224635398,0
,1979,1979,Fundus of stomach,151.3,22,224635398,0
,1979,1979,"Lesser curvature, unspecified",151.5,4,224635398,0.0 (Unreliable)
,1979,1979,"Greater curvature, unspecified",151.6,5,224635398,0.0 (Unreliable)
,1979,1979,"Stomach, unspecified",151.9,14092,224635398,6.3
,1979,1979,Duodenum,152,287,224635398,0.1
,1979,1979,Jejunum,152.1,94,224635398,0
,1979,1979,Ileum,152.2,91,224635398,0
,1979,1979,Meckel's diverticulum,152.3,2,224635398,0.0 (Unreliable)
,1979,1979,"Small intestine, unspecified",152.9,300,224635398,0.1
,1979,1979,Hepatic flexure,153,77,224635398,0
,1979,1979,Transverse colon,153.1,642,224635398,0.3
,1979,1979,Descending colon,153.2,675,224635398,0.3
,1979,1979,Sigmoid colon,153.3,2974,224635398,1.3
,1979,1979,Cecum,153.4,2117,224635398,0.9
,1979,1979,Appendix,153.5,109,224635398,0
,1979,1979,Ascending colon,153.6,1363,224635398,0.6
,1979,1979,Splenic flexure,153.7,92,224635398,0
,1979,1979,Other specified sites of large intestine,153.8,33,224635398,0
,1979,1979,"Colon, unspecified",153.9,35078,224635398,15.6
,1979,1979,Rectosigmoid junction,154,1366,224635398,0.6
,1979,1979,Rectum,154.1,7514,224635398,3.3
,1979,1979,Anal canal,154.2,11,224635398,0.0 (Unreliable)
,1979,1979,"Anus, unspecified",154.3,169,224635398,0.1
,1979,1979,Other,154.8,53,224635398,0
,1979,1979,"Liver, primary",155,2450,224635398,1.1
,1979,1979,Intrahepatic bile ducts,155.1,379,224635398,0.2
,1979,1979,"Liver, not specified as primary or secondary",155.2,2794,224635398,1.2
,1979,1979,Gallbladder,156,2363,224635398,1.1
,1979,1979,Extrahepatic bile ducts,156.1,1225,224635398,0.5
,1979,1979,Ampulla of vater,156.2,318,224635398,0.1
,1979,1979,Other specified sites of gallbladder and extrahepatic bile ducts,156.8,3,224635398,0.0 (Unreliable)
,1979,1979,"Biliary tract, part unspecified",156.9,401,224635398,0.2
,1979,1979,Head of pancreas,157,1480,224635398,0.7
,1979,1979,Body of pancreas,157.1,139,224635398,0.1
,1979,1979,Tail of pancreas,157.2,103,224635398,0
,1979,1979,Pancreatic duct,157.3,7,224635398,0.0 (Unreliable)
,1979,1979,Islets of langerhans,157.4,58,224635398,0
,1979,1979,Other specified sites of pancreas,157.8,4,224635398,0.0 (Unreliable)
,1979,1979,"Pancreas, part unspecified",157.9,19267,224635398,8.6
,1979,1979,Retroperitoneum,158,415,224635398,0.2
,1979,1979,Specified parts of peritoneum,158.8,67,224635398,0
,1979,1979,"Peritoneum, unspecified",158.9,135,224635398,0.1
,1979,1979,"Intestinal tract, part unspecified",159,1681,224635398,0.7
,1979,1979,"Spleen, not elsewhere classified",159.1,7,224635398,0.0 (Unreliable)
,1979,1979,Other sites of digestive system and intra-abdominal organs,159.8,4,224635398,0.0 (Unreliable)
,1979,1979,Ill-defined,159.9,600,224635398,0.3
,1979,1979,Nasal cavities,160,39,224635398,0
,1979,1979,"Auditory tube, middle ear, and mastoid air cells",160.1,20,224635398,0
,1979,1979,Maxillary sinus,160.2,300,224635398,0.1
,1979,1979,Ethmoidal sinus,160.3,30,224635398,0
,1979,1979,Frontal sinus,160.4,6,224635398,0.0 (Unreliable)
,1979,1979,Sphenoidal sinus,160.5,15,224635398,0.0 (Unreliable)
,1979,1979,"Accessory sinus, unspecified",160.9,82,224635398,0
,1979,1979,Glottis,161,69,224635398,0
,1979,1979,Supraglottis,161.1,167,224635398,0.1
,1979,1979,Subglottis,161.2,3,224635398,0.0 (Unreliable)
,1979,1979,Laryngeal cartilages,161.3,8,224635398,0.0 (Unreliable)
,1979,1979,"Larynx, unspecified",161.9,3199,224635398,1.4
,1979,1979,Trachea,162,124,224635398,0.1
,1979,1979,Main bronchus,162.2,201,224635398,0.1
,1979,1979,"Upper lobe, bronchus or lung",162.3,1448,224635398,0.6
,1979,1979,"Middle lobe, bronchus or lung",162.4,97,224635398,0
,1979,1979,"Lower lobe, bronchus or lung",162.5,498,224635398,0.2
,1979,1979,Other parts of bronchus or lung,162.8,11,224635398,0.0 (Unreliable)
,1979,1979,"Bronchus and lung, unspecified",162.9,96072,224635398,42.8
,1979,1979,Parietal pleura,163,2,224635398,0.0 (Unreliable)
,1979,1979,"Pleura, unspecified",163.9,338,224635398,0.2
,1979,1979,Thymus,164,116,224635398,0.1
,1979,1979,Heart,164.1,55,224635398,0
,1979,1979,Anterior mediastinum,164.2,5,224635398,0.0 (Unreliable)
,1979,1979,Posterior mediastinum,164.3,5,224635398,0.0 (Unreliable)
,1979,1979,Other,164.8,1,224635398,0.0 (Unreliable)
,1979,1979,"Mediastinum, part unspecified",164.9,252,224635398,0.1
,1979,1979,"Upper respiratory tract, part unspecified",165,6,224635398,0.0 (Unreliable)
,1979,1979,Ill-defined sites within the respiratory system,165.9,9,224635398,0.0 (Unreliable)
,1979,1979,"Bones of skull and face, except mandible",170,96,224635398,0
,1979,1979,Mandible,170.1,120,224635398,0.1
,1979,1979,"Vertebral column, excluding sacrum and coccyx",170.2,95,224635398,0
,1979,1979,"Ribs, sternum, and clavicle",170.3,29,224635398,0
,1979,1979,Scapula and long bones of upper limb,170.4,26,224635398,0
,1979,1979,Short bones of upper limb,170.5,3,224635398,0.0 (Unreliable)
,1979,1979,"Pelvic bones, sacrum, and coccyx",170.6,86,224635398,0
,1979,1979,Long bones of lower limb,170.7,126,224635398,0.1
,1979,1979,Short bones of lower limb,170.8,3,224635398,0.0 (Unreliable)
,1979,1979,"Bone and articular cartilage, site unspecified",170.9,606,224635398,0.3
,1979,1979,"Head, face, and neck",171,76,224635398,0
,1979,1979,"Upper limb, including shoulder",171.2,74,224635398,0
,1979,1979,"Lower limb, including hip",171.3,267,224635398,0.1
,1979,1979,Thorax,171.4,72,224635398,0
,1979,1979,Abdomen,171.5,139,224635398,0.1
,1979,1979,Pelvis,171.6,96,224635398,0
,1979,1979,"Trunk, unspecified",171.7,12,224635398,0.0 (Unreliable)
,1979,1979,Other specified sites of connective and other soft tissue,171.8,2,224635398,0.0 (Unreliable)
,1979,1979,"Connective and other soft tissue, site unspecified",171.9,1715,224635398,0.8
,1979,1979,Lip,172,2,224635398,0.0 (Unreliable)
,1979,1979,"Eyelid, including canthus",172.1,2,224635398,0.0 (Unreliable)
,1979,1979,Ear and external auditory canal,172.2,36,224635398,0
,1979,1979,Other and unspecified parts of face,172.3,77,224635398,0
,1979,1979,Scalp and neck,172.4,121,224635398,0.1
,1979,1979,"Trunk, except scrotum",172.5,298,224635398,0.1
,1979,1979,"Upper limb, including shoulder",172.6,117,224635398,0.1
,1979,1979,"Lower limb, including hip",172.7,179,224635398,0.1
,1979,1979,Other specified sites of skin,172.8,1,224635398,0.0 (Unreliable)
,1979,1979,"Melanoma of skin, site unspecified",172.9,3916,224635398,1.7
,1979,1979,Skin of lip,173,8,224635398,0.0 (Unreliable)
,1979,1979,"Eyelid, including canthus",173.1,10,224635398,0.0 (Unreliable)
,1979,1979,Skin of ear and external auditory canal,173.2,167,224635398,0.1
,1979,1979,Skin of other and unspecified parts of face,173.3,262,224635398,0.1
,1979,1979,Scalp and skin of neck,173.4,474,224635398,0.2
